,Drug Name,ANDA Number,Approval Date,
1,THIOTEPA FOR INJECTION USP 15 MG/VIAL,75-547,4/2/01,
2,FAMOTIDINE INJECTION 10 MG/ML (500 MG/50 ML) PHARMACY BULK PACKAGE,75-684,4/16/01,
3,FAMOTIDINE TABLETS USP 20 MG 40 MG,75-311,4/16/01,
4,FAMOTIDINE INJECTION (PRESERVATIVE-FREE) 10 MG/ML (20 MG/2 ML) VIALS,75-669,4/16/01,
5,FAMOTIDINE INJECTION 10 MG/ML (MULTIPLE-DOSE VIALS),75-488,4/16/01,
6,IBUPROFEN AND PSEUDOEPHEDRINE HYDROCHLORIDE TABLETS USP 200 MG/30 MG,74-567,4/17/01,
7,THIOTEPA FOR INJECTION USP 15 MG/VIAL 30 MG/VIAL,75-730,4/20/01,
8,PROGESTERONE INJECTION USP 50 MG/ML (MULTIPLE-DOSE VIAL),75-906,4/25/01,
9,MESNA INJECTION 100 MG/ML; (10 ML MULTIPLE-DOSE VIAL),75-811,4/26/01,
10,LEVONORGESTREL AND ETHINYL ESTRADIOL TABLETS USP 0.1 MG/0.02 MG RESPECTIVELY; (21-DAY AND 28-DAY CYCLES),75-796,4/30/01,
11,PAMIDRONATE DISODIUM FOR INJECTION 30 MG/VIAL AND 90 MG/VIAL,75-290,4/30/01,
