,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,IDARUBICIN HYDROCHLORIDE FOR INJECTION USP 5 MG 10 MG AND 20 MG SINGLE-DOSE VIALS,GENSIA SICOR PHARMACEUTICALS INC.,IDAMYCIN FOR INJECTION,5/1/02,
2,AMMONIUM LACTATE CREAM 12% (BASE),CLAY-PARK LABS INC.,LAC-HYDRIN CREAM,5/1/02,
3,IDARUBICIN HYDROCHLORIDE INJECTION 1 MG/ML; (5 MG/5 ML 10 MG/10 ML AND 20 MG/20 ML SINGLE-DOSE VIALS),GENSIA SICOR PHARMACEUTICALS INC.,IDAMYCIN PFS INJECTION,5/1/02,
4,CYCLOSPORINE CAPSULES USP 25 MG AND 100 MG,TORPHARM,SANDIMMUNE SOFT GELATIN CAPSULES,5/9/02,
5,TORSEMIDE TABLETS 5 MG 10 MG 20 MG AND 100 MG,TEVA PHARMACEUTICALS USA,DEMADEX TABLETS,5/14/02,
6,NEOMYCIN SULFATE ORAL SOLUTION USP 125 MG/5 ML,PHARMA-TEK INC.,MYCIFRADIN ORAL SOLUTION,5/23/02,
7,MILRINONE LACTATE IN 5% DEXTROSE INJECTION 0.2 MG (BASE)/ML PACKAGED IN 100 ML AND 200 ML SINGLE-DOSE PLASTIC CONTAINERS FOR INTRAVENOUS INFUSION,BAXTER HEALTHCARE CORPORATION,PRIMACOR IN 5% DEXTROSE INJECTION,5/28/02,
8,MILRINONE LACTATE INJECTION 1 MG (BASE)/ML; 10 MG (BASE)/10 ML & 20 MG (BASE)/20 ML SINGLE-DOSE VIALS,ESI LEDERLE,PRIMACOR INJECTION,5/28/02,
9,IFOSFAMIDE FOR INJECTION USP 1 G AND 3 G SINGLE-DOSE VIALS,AMERICAN PHARMACEUTICAL PARTNERS INC.,IFEX FOR INJECTION,5/28/02,
10,MILRINONE LACTATE IN 5% DEXTROSE INJECTION 0.2 MG (BASE)/ML; 100 ML SINGLE-DOSE VIAL FOR INFUSION,ESI LEDERLE,PRIMACOR IN 5% DEXTROSE INJECTION,5/28/02,
11,AMCINONIDE CREAM USP 0.1%,TARO PHARMACEUTICAL INDUSTRIES LTD.,CYCLOCORT CREAM,5/31/02,
12,CEFPODOXIME PROXETIL FOR ORAL SUSPENSION 50 MG (BASE)/5 ML AND 100 MG (BASE)/5 ML,RANBAXY LABORATORIES LIMITED,VANTIN FOR ORAL SUSPENSION,5/31/02,
