,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,TERCONAZOLE VAGINAL CREAM 0.8%,TARO PHARMACEUTICALS U.S.A. INC.,TERAZOL 3 VAGINAL CREAM,4/6/2004,
2,RIBAVIRIN CAPSULES 200 MG,THREE RIVERS PHARMACEUTICALS LLC,REBETOL CAPSULES,4/6/2004,
3,RIBAVIRIN CAPSULES 200 MG,SANDOZ INC.,REBETROL CAPSULES,4/6/2004,
4,NORETHINDRONE AND ETHINYL ESTRADIOL TABLETS USP 0.4 MG/0.035 MG; 28-DAY CYCLE (BALZIVA-28 TABLETS),BARR LABORATORIES INC.,OVCON-35 (28-DAY CYCLE),4/22/2004,
5,NORETHINDRONE AND ETHINYL ESTRADIOL TABLETS USP 0.4 MG/0.035 MG; 21-DAY CYCLE (BALZIVA-21 TABLETS),BARR LABORATORIES INC.,OVCON-35 TABLETS,4/22/2004,
6,MIRTAZAPINE TABLETS 7.5 MG 15 MG 30 MG AND 45 MG,CARACO PHARMACEUTICAL LABORATORIES LTD.,REMERON TABLETS,4/22/2004,
7,TERBUTALINE SULFATE INJECTION USP 1 MG/ML,BEDFORD LABORATORIES,BRETHINE INJECTION,4/23/2004,
8,THEOPHYLLINE EXTENDED-RELEASE TABLETS 400 MG,ABLE LABORATORIES INC.,UNIPHYL TABLETS,4/27/2004,
9,THEOPHYLLINE EXTENDED-RELEASE TABLETS 600 MG,ABLE LABORATORIES INC.,UNIPHYL TABLETS,4/27/2004,
10,GABAPENTIN TABLETS 100 MG 300 MG AND 400 MG,IVAX PHARMACEUTICALS INC.,NEURONTIN CAPSULES (100 MG) AND TABLETS,4/28/2004,
11,FLUDARABINE PHOSPHATE INJECTION 25 MG/ML; PACKAGED IN 50 MG/2 ML SINGLE-DOSE VIALS,SICOR PHARMACEUTICALS INC.,FLUDARA FOR INJECTION,4/28/2004,
