,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,PROMETHAZINE HYDROCHLORIDE TABLETS USP 12.5 MG 25 MG AND 50 MG,ABLE LABORATORIES INC.,PHENERGAN TABLETS,7/1/2004,
2,GLYCOLAX (POLYETHYLENE GLYCOL 3350 POWDER FOR ORAL SOLUTION),SCHWARZ PHARMA INC.,MIRALAX POWDER FOR ORAL SOLUTION,7/2/2004,
3,PIPERACILLIN FOR INJECTION USP 40 G/VIAL (PHARMACY BULK PACKAGE),ISTITUTO BIOCHIMICO ITALIANO S.P.A.,PIPRACIL FOR INJECTION,7/12/2004,
4,LEVOTHYROXINE SODIUM TABLETS USP 0.025 MG 0.05 MG 0.075 MG 0.088 MG 0.1 MG 0.112 MG 0.125 MG 0.15 MG 0.175 MG 0.2 MG AND 0.3 MG ARE "AB"-RATED TO LEVOXYL TABLETS OF JONES PHARMA INC.,MYLAN PHARMACEUTICALS INC.,LEVOXYL TABLETS,7/13/2004,
5,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE LOTION 1%/0.05% (BASE),TARO PHARMACEUTICALS U.S.A. INC.,LOTRISONE LOTION,7/28/2004,
6,MEDROXYPROGESTERONE ACETATE INJECTABLE SUSPENSION USP 150 MG/1 ML SINGLE-DOSE VIALS,SICOR PHARMACEUTICALS INC.,DEPO-PROVERA INJECTABLE SUSPENSION,7/28/2004,
7,FLUCONAZOLE TABLETS 50 MG 100 MG 150 MG AND 200 MG,SANDOZ INC.,DIFLUCAN TABLETS,7/29/2004,
8,FLUCONAZOLE FOR ORAL SUSPENSION 10 MG/ML (50 MG/5 ML) AND 40 MG/ML (200 MG/5 ML),RANBAXY LABORATORIES LIMITED,DIFLUCAN FOR ORAL SUSPENSION,7/29/2004,
9,FLUCONAZOLE TABLETS 50 MG 100 MG 150 MG AND 200 MG,MYLAN PHARMACEUTICALS INC.,DIFLUCAN TABLETS,7/29/2004,
10,FLUCONAZOLE FOR ORAL SUSPENSION 10 MG/ML (50 MG/5 ML) AND 40 MG/ML (200 MG/5 ML),ROXANE LABORATORIES INC.,DIFLUCAN FOR ORAL SUSPENSION,7/29/2004,
