,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,CIPROFLOXACIN TABLETS USP 250 MG 500 MG AND 750 MG,EON LABS INC.,CIPRO TABLETS,6/9/2004,
2,CIPROFLOXACIN TABLETS USP 250 MG 500 MG AND 750 MG,MYLAN PHARMACEUTICALS INC.,CIPRO TABLETS,6/9/2004,
3,CIPROFLOXACIN TABLETS USP 250 MG 500 MG AND 750 MG,CARLSBAD TECHNOLOGY INC.,CIPRO TABLETS,6/9/2004,
4,CIPROFLOXACIN OPHTHALMIC SOLUTION USP 0.3%,NOVEX PHARMA,CILOXAN OPHTHALMIC SOLUTION,6/9/2004,
5,CIPROFLOXACIN TABLETS USP 250 MG 500 MG AND 750 MG,SANDOZ INC.,CIPRO TABLETS,6/9/2004,
6,CIPROFLOXACIN TABLETS USP 250 MG 500 MG AND 750 MG,COBALT PHARMACEUTICALS INC.,CIPRO TABLETS,6/9/2004,
7,CIPROFLOXACIN OPHTHALMIC SOLUTION USP 0.3%,BAUSCH & LOMB INC.,CILOXAN OPHTHALMIC SOLUTION,6/9/2004,
8,CIPROFLOXACIN TABLETS USP 250 MG 500 MG AND 750 MG,BARR LABORATORIES INC.,CIPRO TABLETS,6/9/2004,
9,CIPROFLOXACIN TABLETS USP 250 MG 500 MG AND 750 MG,HIKMA PHARMACEUTICALS,CIPRO TABLETS,6/9/2004,
10,CIPROFLOXACIN TABLETS USP 100 MG 250 MG 500 MG AND 750 MG,DR. REDDY'S LABORATORIES LIMITED,CIPRO TABLETS,6/9/2004,
11,CIPROFLOXACIN TABLETS USP 250 MG 500 MG AND 750 MG,RANBAXY LABORATORIES LIMITED,CIPRO TABLETS,6/9/2004,
12,CIPROFLOXACIN TABLETS USP 250 MG 500 MG AND 750 MG,MARTEC SCIENTIFIC INC.,CIPRO TABLETS,6/9/2004,
13,CIPROFLOXACIN TABLETS USP 250 MG 500 MG AND 750 MG,IVAX PHARMACEUTICALS INC.,CIPRO TABLETS,6/9/2004,
14,CIPROFLOXACIN TABLETS USP 250 MG 500 MG AND 750 MG,GENPHARM INC.,CIPRO TABLETS,6/9/2004,
15,CIPROFLOXACIN TABLETS USP 250 MG 500 MG AND 750 MG,TEVA PHARMACEUTICALS USA,CIPRO TABLETS,6/9/2004,
16,ADENOSINE INJECTION USP 3 MG/ML; PACKAGED IN 6 MG/2 ML AND 12 MG/4 ML SINGLE- DOSE VIALS,SICOR PHARMACEUTICALS INC.,ADENOCARD INJECTION,6/16/2004,
17,ADENOSINE INJECTION USP 3 MG/ML; PACKAGED IN 6 MG/2 ML AND 12 MG/4 ML SINGLE-DOSE VIALS,BEDFORD LABORATORIES,ADENOCARD INJECTION,6/16/2004,
18,ADENOSINE INJECTION USP 3 MG/ML; PACKAGED IN 6 MG/2 ML SINGLE-DOSE VIALS.,BAXTER HEALTHCARE CORPORATION,ADENOCARD INJECTION,6/16/2004,
19,ADENOSINE INJECTION USP 3 MG/ML; PACKAGED IN 6 MG/2 ML SINGLE-DOSE SYRINGES,BAXTER HEALTHCARE CORPORATION,ADENOCARD INJECTION,6/16/2004,
20,LEVOTHYROXINE SODIUM TABLETS USP 0.025 MG 0.05 MG 0.075 MG 0.088 MG 0.1 MG 0.112 MG 0.125 MG 0.15 MG 0.175 MG 0.2 MG AND 0.3 MG,MYLAN PHARMACEUTICALS INC.,SYNTHROID TABLETS,6/23/2004,
21,CLARITHROMYCIN EXTENDED-RELEASE TABLETS 500 MG,ANDRX PHARMACEUTICALS LLC,BIAXIN XL FILMTABS,6/24/2004,
22,ALBUTEROL SULFATE INHALATION SOLUTION 0.042% (BASE),NEPHRON PHARMACEUTICALS CORPORATION,ACCUNEB INHALATION SOLUTION,6/28/2004,
