,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,FLUMAZENIL INJECTION 0.1 MG/ML; PACKAGED IN 0.5 MG/5 ML AND 1 MG/10 ML MULTIPLE-DOSE VIALS,SICOR PHARMACEUTICALS INC.,ROMAZICON INJECTION,10/12/2004,
2,FLUMAZENIL INJECTION 0.1 MG/ML; PACKAGED IN 0.5 MG/5 ML AND 1 MG/10 ML MULTIPLE DOSE VIALS,BEDFORD LABORATORIES,ROMAZICON INJECTION,10/12/2004,
3,FLUMAZENIL INJECTION 0.1 MG/ML; PACKAGED IN 0.5 MG/5 ML AND 1 MG/10 ML MULTIPLE DOSE VIALS,BAXTER HEALTHCARE CORPORATION,ROMAZICON INJECTION,10/12/2004,
4,FLUMAZENIL INJECTION 0.1 MG/ML; PACKAGED IN 0.5 MG/5 ML AND 1 MG/10 ML MULTIPLE-DOSE VIALS,APOTEX CORP.,ROMAZICON INJECTION,10/12/2004,
5,FLUMAZENIL INJECTION 0.1 MG/ML; PACKAGED IN 0.5 MG/5 ML AND 1 MG/10 ML MULTIPLE DOSE VIALS,AMERICAN PHARMACEUTICAL PARTNERS INC.,ROMAZICON INJECTION,10/12/2004,
6,CARBOPLATIN FOR INJECTION USP 50 MG 150 MG AND 450 MG SINGLE-DOSE VIALS,AMERICAN PHARMACEUTICAL PARTNERS INC.,PARAPLATIN FOR INJECTION,10/14/2004,
7,CARBOPLATIN FOR INJECTION USP 50 MG 150 MG AND 450 MG SINGLE-DOSE VIALS,BEDFORD LABORATORIES,PARAPLATIN FOR INJECTION,10/14/2004,
8,CARBOPLATIN FOR INJECTION USP 50 MG 150 MG AND 450 MG SINGLE-DOSE VIALS,PHARMACHEMIE B.V.,PARAPLATIN FOR INJECTION,10/14/2004,
9,METFORMIN HYDROCHLORIDE EXTENDED-RELEASE TABLETS 750 MG,BARR LABORATORIES INC.,GLUCOPHAGE XR EXTENDED-RELEASE TABLETS,10/14/2004,
10,CARBOPLATIN INJECTION 10 MG/ML; PACKAGED IN 50 MG/5 ML 150 MG/15 ML AND 450 MG/45 ML MULTIPLE-DOSE VIALS.,PHARMACHEMIE B.V.,PARAPLATIN INJECTION (AQUEOUS),10/14/2004,
11,CARBOPLATIN INJECTION 10 MG/ML; PACKAGED IN 50 MG/5 ML 150 MG/15 ML AND 450 MG/45 ML SINGLE-DOSE VIALS,MAYNE PHARMA (USA) INC.,PARAPLATIN INJECTION (AQUEOUS),10/14/2004,
12,LEVOFLOXACIN TABLETS 250 MG AND 500 MG,MYLAN PHARMACEUTICALS INC.,LEVAQUIN TABLETS,10/15/2004,
13,GABAPENTIN TABLETS 600 MG AND 800 MG,PUREPAC PHARMACEUTICAL CO.,NEURONTIN TABLETS,10/21/2004,
14,CITALOPRAM HYDROBROMIDE TABLETS 10 MG (BASE) 20 MG (BASE) AND 40 MG (BASE),EON LABS INC.,CELEXA TABLETS,10/28/2004,
15,CITALOPRAM HYDROBROMIDE TABLETS 10 MG (BASE) 20 MG (BASE) AND 40 MG (BASE),AUROBINDO PHARMA LIMITED,CELEXA TABLETS,10/28/2004,
16,CITALOPRAM HYDROBROMIDE TABLETS 10 MG (BASE) 20 MG (BASE) AND 40 MG (BASE),PUREPAC PHARMACEUTICAL CO.,CELEXA TABLETS,10/28/2004,
17,CITALOPRAM HYDROBROMIDE TABLETS 10 MG (BASE) 20 MG (BASE) AND 40 MG (BASE),DR. REDDY'S LABORATORIES LIMITED,CELEXA TABLETS,10/28/2004,
18,CITALOPRAM HYDROBROMIDE TABLETS 10 MG (BASE) 20 MG (BASE) AND 40 MG (BASE),COREPHARMA LLC,CELEXA TABLETS,10/28/2004,
