,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,CARVEDILOL TABLETS 3.125 MG 6.25 MG 12.5 MG AND 25 MG,DR. REDDY'S LABORATORIES INC.,COREG TABLETS,9/5/2007,
2,CARVEDILOL TABLETS 3.125 MG 6.25 MG 12.5 MG AND 25 MG,MYLAN PHARMACEUTICALS INC.,COREG TABLETS,9/5/2007,
3,CARVEDILOL TABLETS 3.125 MG 6.25 MG 12.5 MG AND 25 MG,ZYDUS PHARMACEUTICALS USA INC.,COREG TABLETS,9/5/2007,
4,CARVEDILOL TABLETS 3.125 MG 6.25 MG 12.5 MG AND 25 MG,LUPIN LIMITED,COREG TABLETS,9/5/2007,
5,CARVEDILOL TABLETS 6.25 MG 12.5 MG AND 25 MG,CARACO PHARMACEUTICAL LABORATORIES LTD.,COREG TABLETS,9/5/2007,
6,CARVEDILOL TABLETS 3.125 MG 6.25 MG 12.5 MG AND 25 MG,RANBAXY LABORATORIES LIMITED,COREG TABLETS,9/5/2007,
7,CARVEDILOL TABLETS 3.125 MG 6.25 MG 12.5 MG AND 25 MG,GLENMARK PHARMACEUTICALS LIMITED,COREG TABLETS,9/5/2007,
8,CARVEDILOL TABLETS 3.125 MG 6.25 MG 12.5 MG AND 25 MG,TEVA PHARMACEUTICALS USA,COREG TABLETS,9/5/2007,
9,CICLOPIROX TOPICAL SOLUTION (NAIL LACQUER) 8%,G & W LABORATORIES INC.,PENLAC NAIL LACQUER,9/18/2007,
10,CICLOPIROX TOPICAL SOLUTION (NAIL LACQUER) 8%,TARO PHARMACEUTICAL INDUSTRIES LTD.,PENLAC NAIL LACQUER,9/18/2007,
11,CICLOPIROX TOPICAL SOLUTION (NAIL LACQUER) 8%,WATSON LABORATORIES INC.,PENLAC NAIL LACQUER,9/18/2007,
12,CICLOPIROX TOPICAL SOLUTION (NAIL LACQUER) 8%,ACTAVIS MID ATLANTIC LLC,PENLAC NAIL LACQUER,9/18/2007,
13,CICLOPIROX TOPICAL SOLUTION (NAIL LACQUER) 8%,HI-TECH PHARMACAL CO. INC.,PENLAC NAIL LACQUER,9/18/2007,
14,CICLOPIROX TOPICAL SOLUTION (NAIL LACQUER) 8%,PERRIGO COMPANY,PENLAC NAIL LACQUER,9/18/2007,
15,CICLOPIROX TOPICAL SOLUTION (NAIL LACQUER) 8%,APOTEX INC.,PENLAC NAIL LACQUER,9/18/2007,
16,CICLOPIROX TOPICAL SOLUTION (NAIL LACQUER) 8%,TOLMAR INC.,PENLAC NAIL LACQUER,9/18/2007,
17,CICLOPIROX TOPICAL SOLUTION (NAIL LACQUER) 8%,SYNERX PHARMA LLC,PENLAC NAIL LACQUER,9/18/2007,
18,CICLOPIROX TOPICAL SOLUTION (NAIL LACQUER) 8%,TEVA PHARMACEUTICALS USA,PENLAC NAIL LACQUER,9/18/2007,
19,HYDROCODONE POLISTIREX AND CHLORPHENIRAMINE POLISTIREX 5 MG/4 MG AND 10 MG/8 MG,TYCO HEALTHCARE MALLINCKRODT,TUSSINONEX PENNKINETIC ER SUSPENSION,9/24/2007,
20,ALBUTEROL SULFATE INHALATION SOLUTION 0.021% (BASE) AND 0.042% (BASE),WATSON LABORATORIES INC.,ACCUNEB INHALATION SOLUTION,9/25/2007,
21,OFLOXACIN OTIC SOLUTION USP 0.3%,APOTEX INC.,FLOXIN OTIC SOLUTION,9/28/2007,
