,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,CLOBETASOL PROPIONATE LOTION0.05%,ACTAVIS MID ATLANTIC LLC,CLOBEX TOPICAL LOTION,12/4/2008,
2,ACETAZOLAMIDE EXTENDED RELEASE CAPSULE500 MG,ZYDUS PHARMACEUTICALS USA INC.,DIAMOX CAPSULE 500 MG,12/10/2008,
3,GEMCITABINE FOR INJECTION USP200 MG/SINGLE-USE VIAL,TEVA PARENTERAL MEDICINES INC.,GEMZAR FOR INJECTION,12/18/2008,
4,GEMCITABINE FOR INJECTION USP1 GRAM/SINGLE-USE VIAL,TEVA PARENTERAL MEDICINES INC.,GEMZAR FOR INJECTION,12/18/2008,
5,IBUPROFEN AND DIPHENHYDRAMINE CITRATE TABLETS (OTC)200 MG/38 MG,PERRIGO R&D COMPANY,ADVIL PM TABLETS 200 MG/38 MG,12/22/2008,
6,LETROZOLE TALBETS USP2.5 MG,MYLAN PHARMACEUTICALS INC.,FEMARA TABLETS,12/24/2008,
7,STAVUDINE CAPSULES USP15 MG20 MG30 MG AND40 MG,MATRIX LABORATORIES LIMITED,ZERIT CAPSULES,12/29/2008,
8,STAVUDINE CAPSULES USP15 MG20 MG30 MG AND40 MG,AUROBINDO PHARMA LIMITED,ZERIT CAPSULES,12/29/2008,
9,STAVUDINE FOR ORAL SOLUTION USP1 MG/ML;(200 ML UPON RECONSTITUTION),AUROBINDO PHARMA USA INC.,ZERIT FOR ORAL SOLUTION,12/29/2008,
10,STAVUDINE CAPSULES USP15 MG20 MG30 MG AND40 MG,HETERO DRUGS LIMITED,ZERIT CAPSULES,12/29/2008,
