,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,KETOROLAC TROMETHAMINE OPHTHALMIC SOLUTION0.4%,APOTEX INC.,ACULAR LS OPHTHALMIC SOLUTION,11/5/2009,
2,KETOROLAC TROMETHAMINE OPHTHALMIC SOLUTION0.5%,ALCON INC.,ACULAR OPHTHALMIC SOLUTION,11/5/2009,
3,KETOROLAC TROMETHAMINE OPHTHALMIC SOLUTION0.4%,ALCON INC.,ACULAR LS OPHTHALMIC SOLUTION,11/5/2009,
4,KETOROLAC TROMETHAMINE OPHTHALMIC SOLUTION0.5%,AKORN INC.,ACULAR OPHTHALMIC SOLUTION,11/5/2009,
5,KETOROLAC TROMETHAMINE OPHTHALMIC SOLUTION0.4%,AKORN INC.,ACULAR LS OPHTHALMIC SOLUTION,11/5/2009,
6,KETOROLAC TROMETHAMINE OPHTHALMIC SOLUTION0.5%,SUN PHARMA GLOBAL INC.,ACULAR OPHTHALMIC SOLUTION,11/5/2009,
7,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL TABLETS USP1 MG/0.005 MG,BARR LABORATORIES INC.,FEMHRT TABLETS 1 MG/0.005 MG,11/6/2009,
8,LANSOPRAZOLE DELAYED-RELEASE CAPSULES USP15 MG AND30 MG,TEVA PHARMACEUTICALS USA,PREVACID DELAYED-RELEASE CAPSULES,11/10/2009,
9,PERINDOPRIL ERBUMINE TABLETS2 MG4 MG AND8 MG,AUROBINDO PHARMA LIMITED,ACEON TABLETS,11/10/2009,
10,PERINDOPRIL ERBUMINE TABLETS2 MG4 MG AND8 MG,ROXANE LABORATORIES INC.,ACEON TABLETS,11/10/2009,
11,LANSOPRAZOLE DELAYED-RELEASE CAPSULES USP15 MG AND30 MG,MATRIX LABORATORIES LIMITED,PREVACID DELAYED-RELEASE CAPSULES,11/10/2009,
12,PERINDOPRIL ERBUMINE TABLETS2 MG4 MG AND8 MG,IVAX PHARMACEUTICALS INC.,ACEON TABLETS,11/10/2009,
13,TRAMADOL HYDROCHLORIDE EXTENDED-RELEASE TABLETS100 MG AND200 MG,PAR PHARMACEUTICAL INC.,ULTRAM ER TABLETS 100 MG AND 200 MG,11/13/2009,
14,NICARDIPINE HYDROCHLORIDE INJECTION2.5 MG/ML; PACKAGED IN25 MG/10 MLSINGLE-DISE VIALS,GENERAMEDIX INC.,CARDENE I.V. INJECTION,11/17/2009,
15,NICARDIPINE HYDROCHLORIDE INJECTION2.5 MG/ML; PACKAGED IN25 MG/10 MLSINGLE-USE VIALS,PHARMAFORCE INC.,CARDENE I.V. INJECTION,11/17/2009,
16,NICARDIPINE HYDROCHLORIDE INJECTION2.5 MG/ML; PACKAGED IN25 MG/10 MLSINGLE-USE VIALS,NAVINTA LLC,CARDENE I.V. INJECTION,11/17/2009,
17,NICARDIPINE HYDROCHLORIDE INJECTION2.5 MG/ML PACKAGED IN25 MG/10 MLSINGLE-USE AMPULS,SUN PHARMA GLOBAL INC.,CARDENE I.V. INJECTION,11/17/2009,
18,NICARDIPINE HYDROCHLORIDE INJECTION2.5 MG/ML; PACKAGED IN25 MG/10 MLSINGLE-USE VIALS,WOCKHARDT LIMITED,CARDENE I.V. INJECTION,11/17/2009,
19,NIZATIDINE ORAL SOLUTION15 MG/ML,AMNEAL PHARMACEUTICALS,AXID ORAL SOLUTION,11/18/2009,
