,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,FENOFIBRATE CAPSULES43 MG AND130 MG,DR REDDY'S LABORATORIES S.A.,ANTARA CAPSULES,3/1/2012,
2,ZIPRASIDONE HYDROCHLORIDE CAPSULES20 MG (BASE)40 MG (BASE)60 MG (BASE) AND80 MG (BASE),LUPIN LIMITED,GEODON CAPSULES,3/2/2012,
3,ZIPRASIDONE HYDROCHLORIDE CAPSULES20 MG (BASE)40 MG (BASE)60 MG (BASE) AND80 MG (BASE),APOTEX INC.,GEODON CAPSULES,3/2/2012,
4,ZIPRASIDONE HYDROCHLORIDE CAPSULES20 MG (BASE)40 MG (BASE)60 MG (BASE) AND80- MG (BASE),DR. REDDY'S LABORATORIES LIMITED,GEODON CAPSULES,3/2/2012,
5,GLYCOPYRROLATE TABLETS USP1.5 MG,NEXGEN PHARMA INC.,ROBINUL FORTE TABLETS,3/12/2012,
6,ESCITALOPRAM OXALATE ORAL SOLUTION5 MG (BASE)/5 ML,AMNEAL PHARMACEUTICALS,LEXAPRO ORAL SOLUTION,3/14/2012,
7,ESCITALOPRAM TABLETS USP5 MG10 MG AND20 MG,IVAX PHARMACEUTICALS INC.,LEXAPRO TABLETS,3/14/2012,
8,IBANDRONATE SODIUM TABLETS150 MG (BASE)(ONCE-MONTHLY),APOTEX INC.,BONIVA TABLETS,3/19/2012,
9,IBANDRONATE SODIUM TABLETS150 MG (BASE)(ONCE-MONTHLY),ORCHID HEALTHCARE,BONIVA TABLETS,3/19/2012,
10,IBANDRONATE SODIUM TABLETS150 MG (BASE)(ONCE-MONTHLY),MYLAN PHARMACEUTICALS INC.,BONIVA TABLETS,3/19/2012,
11,QUETIAPINE FUMARATE TABLETS25 MG (BASE)50 MG (BASE)100 MG (BASE)200 MG (BASE)300 MG (BASE) AND400 MG (BASE),ACCORD HEALTHCARE INC.,SEROQUEL TABLETS,3/27/2012,
12,QUETIAPINE FUMARATE TABLETS25 MG (BASE)50 MG (BASE)100 MG (BASE)200 MG (BASE)300 MG (BASE) AND400 MG (BASE),SUN PHARMA GLOBAL FZE,SEROQUEL TABLETS,3/27/2012,
13,QUETIAPINE FUMARATE TABLETS25 MG (BASE)50 MG (BASE)100 MG (BASE)150 MG (BASE)200 MG (BASE)300 MG (BASE) AND400 MG (BASE),DR. REDDY'S LABORATORIES INC.,SEROQUEL TALBETS,3/27/2012,
14,QUETIAPINE FUMARATE TABLETS25 MG (BASE)50 MG (BASE)100 MG (BASE)150 MG (BASE)200 MG (BASE)300 MG (BASE) AND400 MG (BASE),AUROBINDO PHARMA LIMITED,SEROQUEL TABLETS,3/27/2012,
15,QUETIAPINE FUMARATE TABLETS25 MG (BASE)50 MG (BASE)100 MG (BASE)200 MG (BASE)300 MG (BASE) AND400 MG (BASE),APOTEX INC.,SEROQUEL TABLETS,3/27/2012,
16,QUETIAPINE FUMARATE TABLETS25 MG (BASE)50 MG (BASE)100 MG (BASE)150 MG (BASE)200 MG (BASE)300 MG (BASE) AND400 MG (BASE),TEVA PHARMACEUTICALS USA,SEROQUEL TABLETS,3/27/2012,
17,QUETIAPINE FUMARATE TABLETS25 MG (BASE),ROXANE LABORATORIES INC.,SEROQUEL TABLETS,3/27/2012,
18,QUETIAPINE FUMARATE TABLETS50 MG (BASE)100 MG (BASE)200 MG (BASE)300 MG (BASE) AND400 MG (BASE),ROXANE LABORATORIES INC.,SEROQUEL TABLETS,3/27/2012,
19,QUETIAPINE FUMARATE TABLETS25 MG (BASE)50 MG (BASE)100 MG (BASE)200 MG (BASE)300 MG (BASE) AND400 MG (BASE),TORRENT PHARMACEUTICALS INC.,SEROQUEL TABLETS,3/27/2012,
20,QUETIAPINE FUMARATE TABLETS25 MG (BASE)50 MG (BASE)100 MG (BASE)200 MG (BASE)300 MG (BASE) AND400 MG (BASE),LUPIN LIMITED,SEROQUEL TABLETS,3/27/2012,
21,QUETIAPINE FUMARATE TABLETS25 MG (BASE),MYLAN PHARMACEUTICALS INC.,SEROQUEL TABLETS,3/27/2012,
22,IRBESARTAN AND HYDROCHLOROTHIAZIDE TABLETS USP150 MG/12.5 MG300 MG/12.5 MG AND300 MG/25 MG,TEVA PHARMACEUTICALS USA,AVALIDE TABLETS,3/30/2012,
23,IRBESARTAN TABLETS USP75 MG150 MG AND300 MG,TEVA PHARMACEUTICALS USA,AVAPRO TABLETS,3/30/2012,
