,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,BIMATOPROST OPHTHALMIC SOLUTION0.01%,SANDOZ INC.,LUMIGAN OPHTHALMIC SOLUTION 0.01%,,
2,POTASSIUM CITRATE EXTENDED-RELEASE TABLETS USP5 mEq10 mEq AND15 mEq,ZYDUS PHARMACEUTICALS INC.,UROCIT-K EXTENDED-RELEASE TABLETS,8/6/2014,
3,BEXAROTENE CAPSULES75 MG,BANNER PHARMACAPS INC.,TARGRETIN CAPSULES,8/12/2014,
4,METOCLOPRAMIDE HYDROCHLORIDE ORALLY DISINTEGRATING TABLETS5 MG (BASE) AND10 MG (BASE),NOVEL LABORATORIES INC.,METOZOLV ORALLY DISINTEGRATING TABLETS,8/15/2014,
5,DEXMEDETOMIDINE HYDROCHLORIDE INJECTION100 MCG (BASE)/ML;PACKAGED IN 200 MCG (BASE)/2 MLSINGLE-DOSE VIALS,MYLAN INSTITUTIONAL LLC,PRECEDEX INJECTION 100 MCG (BASE)/ML,8/18/2014,
6,DEXMEDETOMIDINE HYDROCHLORIDE INJECTION100 MCG (BASE)/ML;PACKAGED IN 200 MCG (BASE)/2 MLSINGLE-DOSE VIALS,PAR STERILE PRODUCTS LLC,PRECEDEX INJECTION,8/18/2014,
7,POLYETHYLENE GLYCOL 3350 SODIUM CHLORIDE SODIUMBICARBONATE AND POTASSIUMCHLORIDE FOR ORAL SOLUTION210 G/5.60 G/2.86 G/0.74 G/2 LITER BOTTLE AND BISACODYL DELAYED-RELEASE TABLET USP 5 MGPACKAGED IN A BOWEL PREP KIT(WITH FLAVOR PACKS),NOVEL LABORATORIES INC.,HALFLYTELY AND BISACODYL TABLET BOWEL PREP KI,8/20/2014,
8,POTASSIUM CHLORIDE EXTENDED-RELEASE TABLETS USP8 mEq (600 MG) AND10 mEq (750 MG),MYLAN PHARMACEUTICALS INC.,KLOR-CON EXTENDED-RELEASE TABLETS,8/21/2014,
9,MINOCYCLINE HYDROCHLORIDE EXTENDED-RELEASE TABLETS80 MG AND105 MG,MYLAN PHARMACEUTICALS INC.,SOLODYN EXTENDED-RELEASE TABLETS,8/22/2014,
10,ENTECAVIR TABLETS0.5 MG AND1 MG,TEVA PHARMACEUTICALS USA,BARACLUDE TABLETS,8/26/2014,
11,MEGESTROL ACETATE ORAL SUSPENSION USP125 MG/ML,Twi PHARMACEUTICALS INC.,MEGACE ES ORAL SUSPENSION,8/27/2014,
12,FROVATRIPTAN SUCCINATE TABLETS2.5 MG (BASE),MYLAN PHARMACEUTICALS INC.,FROVA TABLETS,8/28/2014,
