,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
1,LAMIVUDINE TABLETS (HBV)100 MG,HETERO LABS LIMITED UNIT V,EPIVIR-HBV,1/2/2014,
2,LAMIVUDINE TABLETS (HBV)100 MG,APOTEX CORP.,EPIVIR-HBV TABLETS,1/2/2014,
3,TELMISARTAN TABLETS USP20 MG40 MG AND80 MG,WATSON LABORATORIES INC.,MICARDIS TABLETS,1/7/2014,
4,TELMISARTAN AND AMLODIPINE TABLETS40 MG/5 MG40 MG/10 MG80 MG/5 MG AND80 MG/10 MG,TORRENT PHARMACEUTICALS LIMITED,TWYNSTA TABLETS,1/8/2014,
5,SIROLIMUS TABLETS0.5 MG,ZYDUS PHARMACEUTICALS (USA) INC.,RAPAMUNE TABLETS 0.5 MG,1/8/2014,
6,MYCOPHENOLIC ACID DELAYED-RELEASE TABLETS180 MG AND360 MG,MYLAN PHARMACEUTICALS INC.,MYFORTIC DELAYED-RELEASE TABLETS,1/8/2014,
7,TELMISARTAN AND AMLODIPINE TABLETS40 MG/5 MG40 MG/10 MG80 MG/5 MG AND80 MG/10 MG,LUPIN LIMITED,TWYNSTA TABLETS,1/8/2014,
8,DOXERCALCIFEROL CAPSULES1 MCG AND2.5 MCG,ROXANE LABORATORIES INC.,HECTOROL CAPSULES,1/14/2014,
9,FLUOCINONIDE CREAM USP0.1%,PERRIGO ISRAEL PHARMACEUTICALS LTD.,VANOS CREAM,1/14/2014,
10,BROMFENAC OPHTHALMIC SOLUTION0.09% (ONCE-A-DAY),HI-TECH PHARMACAL CO. INC.,BROMDAY OPHTHALMIC SOLUTION,1/22/2014,
11,REPAGLINIDE TABLETS USP1 MG AND2 MG,PADDOCK LABORATORIES LLC,PRANDIN TABLETS 1 MG AND 2 MG,1/22/2014,
12,REPAGLINIDE TABLETS USP1 MG AND2 MG,SANDOZ INC.,PRANDIN TABLETS 1 MG AND 2 MG,1/22/2014,
13,REPAGLINIDE TABLETS USP1 MG AND2 MG,ACTAVIS TOTOWA LLC,PRANDIN TABLETS 1 MG AND 2 MG,1/22/2014,
14,REPAGLINIDE TABLETS USP1 MG AND2 MG,MYLAN PHARMACEUTICALS INC.,PRANDINTABLETS 1 MG AND 2 MG,1/22/2014,
15,REPAGLINIDE TABLETS USP0.5 MG1 MG AND2 MG,AUROBINDO PHARMA LTD.,PRANDIN TABLETS,1/22/2014,
16,SUNITINIB MALEATE CAPSULES12.5 MG (BASE)25 MG (BASE)37.5 MG (BASE) AND50 MG (BASE),MYLAN PHARMACEUTICALS INC.,SUTENT CAPSULES,1/30/2014,
