,ANDA Number,Generic Drug Name,Generic Manufacturer/Applicant,Brand Name,Approval Date,
1,78340,IMATINIB MESYLATE TABLETS (TABLETS) 100 MG 400 MG,SUN PHARMA GLOBAL FZE,GLEEVEC TABLETS,12/3/15,
2,203152,OLOPATADINE HYDROCHLORIDE OPHTHALMIC SOLUTION USP 0.1%,USV NORTH AMERICA INC.,PATANOL OPHTHALMIC SOLUTION,12/7/15,
3,78-350,OLOPATADINE HYDROCHLORIDE OPHTHALMIC SOLUTION USP 0.1%,APOTEX INC.,PATANOL OPHTHALMIC SOLUTION,12/7/15,
4,206306,OLOPATADINE HYDROCHLORIDE OPHTHALMIC SOLUTION USP 0.1%,NOVEL LABORATORIES INC.,PATANOL OPHTHALMIC SOLUTION,12/7/15,
5,204706,OLOPATADINE HYDROCHLORIDE OPHTHALMIC SOLUTION USP 0.1%,ZACH SYSTEM S.P.A.,PATANOL OPHTHALMIC SOLUTION,12/7/15,
6,205604,AMIKACIN SULFATE INJECTION USP 250 MG/ML,FRESENIUS KABI USA LLC,AMIKACIN SULFATE INJECTION USP,12/9/15,
7,204827,FESOTERODINE FUMARATE EXTENDED-RELEASE TABLETS 4 MG 8 MG,ALKEM LABORATORIES LIMITED,TOVIAZ EXTENDED-RELEASE TABLETS,12/10/15,
8,205102,LEVETIRACETAM TABLETS 250 MG 750 MG 1000 MG,SECAN PHARMACEUTICALS INC.,KEPPRA,12/16/15,
9,202259,BUSULFAN INJECTION 6 MG/ML (10 ML SDV),PHARMAFORCE INC.,BISULFEX INJECTION,12/22/15,
10,207042,NEOSTIGMINE METHYLSULFATE INJECTION USP 5 MG/10 ML 10 MG/10 ML,EUROHEALTH INTERNATIONAL SARL,BLOXIVERZ,12/28/15,
